ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
31 - Freedom Fighter Ward,West,Rajarajeshwarinagar,2020,0.1624106892391092,0.06472868321965214,40.15468792627579
35 - Garudachar Palya,East,Mahadevapura,2020,0.19624475039393222,0.053252354184333855,36.82325797178769
5 - Rajeshwarinagar,West,Dasarahalli,2020,0.16012975392350662,0.06531168732224678,40.53853978756257
37 - Kundalahalli,East,Mahadevapura,2020,0.24815791561236142,0.04561445576783272,32.68659356321552
74 - Pattegar Palya,West,Govindraj Nagar,2020,0.16424295729422478,0.058166348867888275,39.167071379213674
11 - Dodda Bidarakallu,West,Yeshwanthapura,2020,0.2657466100986258,0.06312643522486311,38.99810399682031
45 - K.R Market,Central,Chamrajapet,2020,0.19177928264698485,0.06949816790128625,40.980466584657606
112 - Hosakerehalli,West,Padmanabanagar,2020,0.16573662721390736,0.05751725399742401,38.208819192871545
63 - J.P PARK,North,Rajarajeshwarinagar,2020,0.3557777067169029,-0.03579597390880817,37.476049569007905
41 - Kothanur,South,Bangalore South,2020,0.287218453604433,0.04330007538582772,35.46066914004918
22 - Domluru,Central,Shanthinagar,2020,0.2547077940025578,0.020838716177797454,36.61800123016683
48 - S.K Garden,North,Pulakeshinagar,2020,0.3389178110286298,-0.01607232345107331,37.16476589779603
6 - Bharathi Nagar,Central,Shivajinagar,2020,0.1424728560605428,0.0919169411006415,39.84889850503905
17 - N.S Palya,South,B.T.M Layout,2020,0.15554487218843513,0.058119538984904316,37.748545592689254
32 - Laggere,West,Rajarajeshwarinagar,2020,0.1820981081951386,0.06828307694973915,40.218326708272805
100 - Srinagar,West,Basavanagudi,2020,0.1726278515634368,0.04592135933413144,38.6320868370906
60 - Seshadripuram,Central,Gandhinagara,2020,0.17964367297372796,0.049509562813482635,38.962419373862076
34 - D.V Gundappa Ward,Central,Chickpet,2020,0.1569986021161946,0.09423268283472987,40.823435483663665
96 - Kathriguppe,West,Basavanagudi,2020,0.22927529456768478,0.015804015241116628,37.85877075449829
10 - Cox Town,Central,C.V. Raman Nagar,2020,0.3745582231192874,-0.005372556476084885,37.0833152426127
17 - Nagadevanahalli,West,Yeshwanthapura,2020,0.253240157037827,0.0437479201975519,39.048189761641744
30 - Vinayakanagar,Central,Shanthinagar,2020,0.40232816603693183,-0.029111209018477645,35.95750125814186
34 - Kaveri Nagara,East,Mahadevapura,2020,0.23857694301959104,0.030144992823806047,33.659769501018076
39 - Venkat Reddy Nagara,Central,Chickpet,2020,0.13243385067822852,0.09285951105546841,39.46735072268985
50 - Dinnur,North,Hebbal,2020,0.1640192995704849,0.06225599879935479,39.27416769368269
44 - Doddanna Nagar,North,Pulakeshinagar,2020,0.21677566165531853,0.07354151892735122,39.60296040543578
66 - Kammagondanahalli,North,Dasarahalli,2020,0.22068729427296294,0.06361944353273583,39.247494517738794
31 - Shanthinagar,Central,Shanthinagar,2020,0.31085502511318575,-0.004124155819844229,37.49141498154979
59 - Geddalahalli,North,Hebbal,2020,0.30756477348945255,-0.012773974950026572,37.50371856301489
26 - Samadhana Nagar,North,Sarvagnanagar,2020,0.15467341174387148,0.09506422695692242,40.72517771014672
62 - Brundavana Nagara,North,Rajarajeshwarinagar,2020,0.1681388369602191,0.051965523620716776,38.8110431728949
103 - N.R Colony,West,Basavanagudi,2020,0.23955885506961178,0.024544716643457472,37.949893424171215
104 - Thyagarajnagar,West,Basavanagudi,2020,0.18855924824705786,0.048536571429014234,38.523492660348445
105 - Yediyuru,West,Padmanabanagar,2020,0.24003072404410275,0.004606810795670121,37.014002985153205
99 - T.R Shamanna Nagar,West,Basavanagudi,2020,0.18021750288142646,0.046999069308758655,38.70020550369816
28 - Venkateshpuram,North,Sarvagnanagar,2020,0.16485708286235076,0.07783199498277185,40.27891788254032
101 - Kempambudhi Ward,West,Basavanagudi,2020,0.37736579162592276,-0.09153820533189065,36.30441835439147
25 - Ashokanagar,Central,Shanthinagar,2020,0.3311156375363498,-0.0220759762470171,37.020378803022695
64 - Yeshwanthpura,North,Rajarajeshwarinagar,2020,0.13056118534740013,0.08935290085694259,39.995588049016526
36 - Maruthi Seva Nagara,North,Sarvagnanagar,2020,0.24242294721243782,0.030076460777227934,38.072395870181914
111 - Ittamadu,West,Padmanabanagar,2020,0.1452694358726781,0.06366169955918641,37.65288652480762
109 - Kamakya Layout,West,Padmanabanagar,2020,0.21185567312915077,0.02491528942131691,37.517569160598505
110 - Chikkalasandra,West,Padmanabanagar,2020,0.14308886609072166,0.0713459936884342,38.267094263396025
61 - Dattatreya Ward,Central,Gandhinagara,2020,0.2336141507961853,0.02140134474642415,38.911091392352375
58 - Arakere,South,Bommanahalli,2020,0.24220312420273876,0.02461024348557882,37.18528642766496
22 - Mahadevapura,East,K.R. Pura,2020,0.23856204612237839,0.04442589143279373,36.67826530114231
38 - Shampura,North,Pulakeshinagar,2020,0.19114063213948818,0.0605052436494378,39.68026615193763
57 - Bhoopasandra,North,Hebbal,2020,0.31775702689524266,0.02626072439951287,37.923708325373944
42 - Sunkenahalli,Central,Chickpet,2020,0.28857305092524865,-0.0012885453384249427,37.5890730134789
106 - Devagiri Temple Ward,West,Padmanabanagar,2020,0.2273899566778806,0.021209516331776267,37.359960238232375
108 - Ganesh Mandira Ward,West,Padmanabanagar,2020,0.27429576385573806,-0.010583656292477346,37.15993067472234
76 - Moodalapalya,West,Govindraj Nagar,2020,0.1491110113812475,0.059085907484262644,38.61972304359256
